"LOCATION_NAME","TSN","X_COORD","Y_COORD","EFA_ID","PHONE","ADDRESS","FACILITIES","ACCESS","TRANSPORT"
"Aberdeen Station","233610","150.8920522","-32.16710358",10101192,"02 6543 1018","New England Hwy, Aberdeen NSW 2336","Emergency help point | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","This location is wheelchair accessible | Tactile surfaces | PA system for announcements","Train"
"Adamstown Station","228920","151.7200807","-32.93372988",10101159,"02 4962 9295","Park Ave, Adamstown NSW 2289","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train, Bus"
"Albion Park Station","252710","150.7984997","-34.56264671",10101381,"02 4223 5416","Princes Hwy, Albion Park Rail NSW 2527","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements","Train, Bus"
"Allawah Station","222020","151.11433","-33.96958391",10101338,"02 9563 7415","Railway Pde, Allawah NSW 2218","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus"
"Arncliffe Station","220520","151.1472995","-33.93645619",10101333,"02 9563 7431","Firth St, Arncliffe NSW 2205","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Artarmon Station","206410","151.1852939","-33.80890264",10101116,"02 9379 1140","Hampden Rd, Artarmon NSW 2064","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Stairs | Tactile surfaces | PA system for announcements","Train, Taxi"
"Ashfield Station","213110","151.1255042","-33.88755061",10101209,"02 9752 8356","Brown St, Ashfield NSW 2131","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Asquith Station","207730","151.1080252","-33.68876996",10101128,"02 9847 8495","Haldane St, Asquith NSW 2077","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Hearing loop | Wheelchair ramp boarding assistance | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train"
"Auburn Station","214410","151.032867","-33.8492696",10101219,"02 9848 9206","Rawson St, Auburn NSW 2144","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Austinmer Station","251540","150.9293128","-34.30641046",10101363,"02 4223 5573","Railway Ave, Austinmer NSW 2515","Bike racks | Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
